no_of_parent_edges	no_of_children_edges	Exp_parent_mean	CIG_distance_parent_mean	CIG_distance_parent_CV	Exp_child_median	EXP	CIG_distance	label
1670.0	368.0	0.0	0.557	5.079	0.0	-5.739	-0.458	0
2131.0	315.0	0.0	1.65	1.114	0.0	0.213	0.572	0
0.0	1.0	0.0	0.0	0.0	0.0	-6.991	-8.337	0
36.0	77.0	0.0	3.497	0.477	0.0	-3.282	3.764	0
751.0	402.0	0.0	0.957	2.491	0.0	2.447	3.939	0
25.0	333.0	0.0	-0.285	-8.121	0.0	-1.139	-2.19	0
2270.0	1237.0	0.0	1.763	0.949	0.0	5.664	2.619	0
1720.0	177.0	0.0	2.452	0.839	0.0	-3.673	1.276	0
93.0	123.0	0.0	3.077	0.532	0.0	2.599	1.892	0
1599.0	170.0	0.0	1.743	1.202	0.0	-0.146	3.994	0
1788.0	153.0	0.0	1.795	1.064	0.0	1.038	2.456	0
30.0	648.0	0.0	2.451	0.663	0.0	0.299	0.682	0
2627.0	7196.0	0.0	1.869	1.028	0.0	0.729	3.278	0
1047.0	278.0	0.0	2.583	0.889	0.0	-4.016	2.334	0
1265.0	181.0	0.0	2.208	1.287	0.0	-0.9	3.142	0
583.0	494.0	0.0	2.29	1.17	0.0	-0.888	3.864	0
71.0	190.0	0.0	1.717	1.105	0.0	0.955	0.379	0
2655.0	259.0	0.0	0.501	4.845	0.0	-0.829	-0.341	0
1591.0	876.0	0.0	1.952	0.887	0.0	6.289	1.46	0
1980.0	1237.0	0.0	2.466	0.732	0.0	0.458	3.664	0
3.0	43.0	0.0	4.273	0.507	0.0	-8.586	-5.874	0
876.0	944.0	0.0	2.199	1.158	0.0	-0.601	3.546	0
0.0	36.0	0.0	0.0	0.0	0.0	0.0	-8.344	0
2085.0	552.0	0.0	1.656	0.985	0.0	3.497	0.662	0
1663.0	70.0	0.0	2.77	0.878	0.0	-2.643	-3.029	0
995.0	60.0	0.0	1.087	2.441	0.0	-6.733	0.112	0
467.0	926.0	0.0	2.89	0.926	0.0	-1.448	4.643	0
1343.0	657.0	0.0	1.305	1.451	0.0	0.617	3.024	0
621.0	324.0	0.0	1.798	1.035	0.0	4.675	4.283	0
1889.0	377.0	0.0	1.65	0.942	0.0	2.276	0.551	0
1606.0	225.0	0.0	1.626	1.145	0.0	-0.293	1.902	0
1658.0	236.0	0.0	1.22	1.789	0.0	-0.846	2.39	0
83.0	319.0	0.0	2.408	0.737	0.0	-1.047	1.47	0
921.0	94.0	0.0	1.363	1.307	0.0	0.634	-1.302	0
1833.0	649.0	0.0	1.588	1.213	0.0	0.181	-0.58	0
1829.0	668.0	0.0	1.504	1.028	0.0	1.079	0.079	0
1207.0	247.0	0.0	1.894	1.153	0.0	-4.645	6.276	0
30.0	697.0	0.0	3.021	0.693	0.0	-4.217	4.232	0
354.0	797.0	0.0	0.71	4.717	0.0	-7.946	0.41	0
1798.242	669.102	-0.223	2.136	1.138	-0.135	3.217	7.716	1
2437.856	1279.347	0.902	3.371	0.804	0.856	4.771	6.157	1
1898.868	247.293	1.786	1.756	1.678	1.501	6.353	7.159	1
2011.272	652.278	0.612	3.294	0.859	0.516	3.826	5.522	1
1903.708	3924.75	1.588	2.603	0.802	3.332	2.562	5.023	1
1589.827	741.843	1.899	1.914	1.656	0.178	2.503	7.577	1
1680.973	291.946	0.732	3.134	0.862	1.306	7.395	7.796	1
1684.695	220.01	0.971	1.821	1.372	1.152	2.232	4.425	1
1678.05	578.146	0.613	2.53	1.03	1.547	6.571	7.61	1
565.157	56.765	-2.264	1.423	2.79	-0.69	-1.744	2.528	1
1297.691	152.846	1.03	1.77	1.245	1.13	1.654	4.426	1
1578.564	191.129	1.264	2.31	0.984	1.291	2.293	4.523	1
1421.7	769.325	0.398	1.722	1.99	0.418	3.007	6.211	1
1955.318	375.385	1.035	2.595	1.444	0.851	5.523	5.331	1
1845.281	236.739	1.598	1.676	1.766	1.605	4.48	4.825	1
1696.465	1540.307	0.404	2.471	1.05	3.368	5.922	5.842	1
3559.699	432.338	1.773	2.271	1.428	1.962	8.364	7.978	1
1802.646	679.76	-0.191	2.107	1.138	-0.205	2.9	7.6	1
1648.273	229.632	1.079	2.418	0.98	1.094	2.641	5.007	1
1129.351	790.839	-0.113	1.907	1.481	-0.229	-5.369	0.463	1
1387.948	863.503	1.195	2.214	1.308	-0.354	3.102	4.268	1
1620.471	556.117	1.196	2.675	0.967	2.327	7.606	7.204	1
1309.898	155.708	1.117	1.29	1.488	1.087	3.154	4.585	1
1849.965	237.151	1.619	1.674	1.776	1.62	4.552	4.838	1
1432.911	194.622	0.127	1.74	1.244	0.643	3.221	4.007	1
2178.312	3883.091	1.662	2.551	0.797	3.229	2.969	5.564	1
2037.859	1245.259	3.111	2.426	0.773	2.609	2.347	3.204	1
906.823	81.35	-1.529	1.509	2.561	0.316	-1.819	2.319	1
1403.49	194.841	0.224	1.487	1.314	0.438	1.753	3.71	1
1630.694	526.611	0.917	2.788	0.964	2.213	8.271	7.772	1
1659.908	202.797	1.374	2.183	1.09	1.358	2.966	4.661	1
1342.471	592.87	0.084	2.389	0.936	2.104	7.603	7.054	1
1737.107	393.996	0.03	3.866	0.739	1.005	10.345	9.898	1
2303.92	981.716	2.801	2.217	0.966	2.969	2.075	5.126	1
1684.895	214.977	0.863	2.235	1.282	1.103	2.544	4.882	1
1424.554	197.636	0.15	1.501	1.329	0.481	2.658	3.827	1
1823.928	316.575	1.007	2.845	1.325	1.559	8.908	8.061	1
1905.657	1343.525	2.638	2.348	0.808	2.155	2.915	2.982	1
1498.535	178.208	0.073	3.192	0.766	1.484	6.132	5.212	1
2658.944	611.62	2.382	2.504	0.854	2.668	4.813	4.258	1
957.727	526.271	1.057	2.036	1.083	2.141	2.541	3.816	1
1675.889	224.675	0.554	4.218	0.685	1.081	5.99	7.847	1
1671.404	445.191	0.452	3.386	0.837	1.67	9.84	9.27	1
2822.544	1158.04	0.334	3.423	1.314	0.357	7.079	8.123	1
1980.589	586.192	0.242	3.475	0.836	0.083	4.26	5.523	1
1705.729	374.637	0.061	3.898	0.728	1.207	11.128	10.519	1
1686.081	275.894	0.386	4.109	0.7	1.124	7.745	8.759	1
444.331	332.382	0.306	2.45	0.929	0.715	1.669	3.242	1
1697.338	332.467	0.2	3.988	0.716	1.172	9.683	9.767	1
1578.158	733.521	3.129	2.327	0.923	2.404	3.125	4.202	1
1569.715	3887.842	1.706	2.828	0.8	3.339	3.931	4.888	1
1375.16	616.136	-0.083	2.4	0.929	1.54	8.909	7.493	1
1338.899	4192.813	2.15	2.016	1.024	3.068	5.628	3.922	1
1154.292	821.3	0.043	2.091	1.311	-0.197	-3.039	1.652	1
1885.304	202.508	0.746	2.348	1.242	1.26	2.922	4.809	1
1582.545	732.545	2.786	2.212	1.125	1.814	2.909	5.26	1
1355.325	612.809	-0.289	2.379	0.958	1.42	8.739	7.467	1
1654.352	198.939	1.465	2.265	1.026	1.404	3.131	4.714	1
1620.701	795.47	1.383	1.961	1.554	-0.507	3.523	5.007	1
873.004	493.899	-0.633	1.664	1.824	2.333	1.353	3.641	1
1649.089	224.176	1.15	2.395	0.985	1.149	2.732	4.959	1
1145.689	732.037	-0.594	1.595	1.9	0.211	-5.758	1.412	1
1952.557	251.758	2.043	1.699	1.975	1.942	6.437	5.353	1
2326.321	1057.854	3.19	2.243	0.804	2.781	3.21	3.18	1
2405.189	1166.782	1.283	3.042	0.906	1.503	3.684	6.565	1
1561.833	3782.196	2.979	2.36	0.988	3.296	1.556	3.873	1
1879.799	228.331	1.724	2.367	1.647	1.712	5.755	5.683	1
1620.505	555.98	1.194	2.675	0.968	2.326	7.609	7.207	1
877.06	75.227	-1.674	1.446	2.679	0.276	-1.901	2.212	1
2160.018	1681.541	2.729	2.229	0.938	3.49	4.423	6.168	1
1974.548	384.789	1.055	2.691	1.316	0.677	6.6	7.042	1
2658.0	3998.0	-0.318	1.847	1.342	1.733	5.659	7.353	1
1686.394	415.213	0.281	3.607	0.79	1.47	10.418	9.821	1
1335.966	131.164	0.951	2.164	1.258	1.276	4.186	6.776	1
576.954	74.367	-1.831	1.536	2.666	0.007	-1.512	2.035	1
1697.511	3774.288	2.706	2.397	0.941	3.33	1.243	4.132	1
721.569	457.015	0.632	2.204	1.003	1.436	2.186	3.339	1
1844.337	3717.296	2.054	2.773	0.799	3.217	4.598	5.515	1
3706.0	466.0	0.953	1.655	2.262	1.335	8.39	7.851	1
2101.257	1389.136	3.118	2.351	0.819	2.891	2.913	4.147	1
1451.123	655.546	2.104	2.375	0.877	2.929	3.936	4.71	1
1403.129	1823.634	0.641	1.988	0.995	0.501	5.616	3.222	1
1614.539	724.777	2.704	2.336	0.878	2.201	3.174	4.349	1
1152.59	730.527	-0.624	1.592	1.92	0.273	-5.355	1.762	1
1300.859	152.005	1.196	1.288	1.495	1.148	3.232	4.66	1
1099.807	736.701	-0.31	1.654	1.709	-0.135	-8.393	-1.069	1
1714.269	700.91	1.169	2.214	1.016	0.926	3.029	6.072	1
1617.472	3849.988	2.477	2.56	0.918	3.298	2.366	4.333	1
1277.135	140.502	1.408	1.327	1.505	1.328	3.501	4.98	1
1695.83	705.323	1.453	2.237	0.99	1.161	3.056	5.754	1
2626.0	1312.0	0.423	3.94	0.815	0.329	6.712	8.167	1
1457.356	185.806	0.06	2.441	0.997	1.116	4.868	4.533	1
1191.727	867.019	0.279	2.368	1.056	-0.151	0.459	3.437	1
1648.345	252.548	0.469	3.166	0.848	0.689	2.562	5.978	1
1048.932	180.249	1.899	1.976	1.329	2.193	2.417	6.172	1
1284.518	693.332	-1.073	1.577	2.212	1.549	2.418	8.227	1
1955.151	480.657	0.173	3.404	0.947	-0.092	5.227	5.933	1
1692.698	309.151	0.277	4.038	0.709	1.152	8.884	9.352	1
2304.384	195.077	0.32	3.735	0.817	1.377	4.843	5.781	1
2592.564	1290.011	0.114	3.675	0.836	0.311	5.592	7.445	1
1707.846	189.69	0.887	4.0	0.811	1.122	4.943	7.228	1
1632.996	1861.316	1.301	2.0	0.981	1.323	5.472	3.903	1
2027.564	687.368	0.809	3.198	0.872	0.745	3.596	5.521	1
1618.272	182.098	1.209	2.593	0.958	1.369	3.627	5.81	1
3706.0	466.0	0.745	1.563	2.422	1.194	8.306	7.769	1
1500.136	183.89	1.03	2.336	0.956	1.161	1.368	4.31	1
1696.568	328.597	0.213	3.996	0.715	1.168	9.55	9.698	1
1977.8	1172.366	3.001	2.397	0.848	2.245	2.339	3.059	1
1463.48	176.972	0.053	2.993	0.789	1.467	5.607	4.88	1
2733.548	1227.754	0.443	3.677	1.087	0.375	7.016	8.217	1
1468.87	135.582	-0.022	3.638	0.743	1.301	5.907	8.58	1
2370.865	1571.1	2.267	2.797	0.882	2.452	5.098	6.93	1
2658.0	3998.0	0.827	2.582	0.958	2.383	7.536	7.659	1
1611.572	591.713	1.616	2.616	0.939	2.4	6.73	6.499	1
1704.251	360.258	0.144	3.675	0.8	1.199	10.241	9.909	1
1698.548	365.725	0.092	3.755	0.751	1.132	10.106	9.973	1
1684.157	213.535	0.857	2.321	1.257	1.1	2.623	4.971	1
1653.995	480.009	0.651	3.131	0.891	1.902	9.169	8.63	1
99.211	100.592	-1.6	2.31	1.343	-2.669	0.143	5.32	1
1476.414	167.171	-0.006	3.209	0.769	1.475	6.219	5.913	1
752.449	62.13	-1.901	1.276	3.036	0.357	-1.88	2.235	1
1766.745	3789.57	2.505	2.402	0.914	3.339	1.256	4.288	1
2179.848	1015.365	2.649	2.3	0.988	2.891	1.442	5.516	1
949.72	201.246	2.023	2.411	1.178	2.548	1.51	6.665	1
2102.105	4118.803	1.758	2.595	0.874	2.8	8.272	6.357	1
1960.704	247.653	2.109	1.627	2.016	1.967	6.28	5.182	1
1560.055	818.758	2.168	1.99	1.551	-0.051	3.654	4.026	1
1270.442	4083.533	2.651	2.078	1.06	3.1	4.772	3.656	1
1773.113	230.395	1.276	1.714	1.607	1.379	3.383	4.622	1
884.299	385.02	-0.225	1.696	1.824	1.378	0.922	2.824	1
1465.32	182.934	0.038	2.67	0.916	1.27	5.404	4.704	1
911.329	524.266	0.02	1.801	1.505	2.221	1.894	3.549	1
1663.679	184.27	0.888	3.832	0.753	1.132	4.154	6.5	1
1124.771	4095.704	2.37	2.092	1.029	3.108	5.933	3.69	1
1012.412	662.117	-0.822	1.55	1.956	0.453	-6.669	-0.041	1
2097.73	1381.132	3.118	2.356	0.816	2.875	2.882	4.095	1
936.408	544.137	0.447	1.891	1.297	2.148	2.248	3.49	1
1164.956	682.713	0.015	1.878	1.466	0.914	-4.26	1.121	1
