no_of_parent_edges	no_of_children_edges	Exp_parent_mean	CIG_distance_parent_mean	Exp_parent_median	Exp_child_mean	Exp_child_CV	EXP	CIG_distance	label
94.0	2661.0	2.132353613400964	3.004316257827265	2.547636644957725	2.910889150042785	1.2610721616191984	9.553542	4.757184177762031	1
126.0	693.0	1.5458517105721366	3.3184740866421736	2.4333270526838886	2.045884485690157	1.9511446600329168	7.070426	7.099119976855915	1
142.0	3052.0	1.9317460304257048	2.332825262536586	2.6633715913081533	2.708185160042615	1.2996820385200114	3.7639787	3.1835138177962894	1
194.0	2790.0	2.250267858712121	2.105174610082504	3.321938896609676	3.811410521408456	0.9333479193477444	7.496133	4.530145590279114	1
194.0	3130.0	2.103236829725747	2.436036743429269	3.3448209912209483	2.0915329008472225	1.990033619448903	5.65159	4.873146530830804	1
107.0	2278.0	2.1408825469267176	2.629928671805737	3.198818454680363	2.1267734139382104	1.9271175320115228	6.2644987	1.886986807270931	1
196.0	2.0	1.5234319886854872	2.157163318866154	2.5328577783329966	3.617966308794565	0.047830298915144	5.702418	3.681123979211695	1
214.0	3020.0	3.39290494984158	3.87610364324607	3.9390687177070816	3.34128935523338	1.0993833563744144	9.273793	11.419048953905554	1
194.0	1175.0	0.5438292336659036	2.324360240252646	1.2802352907538683	2.45535873966185	1.6811507945268642	10.56912	6.857068372381164	1
35.0	141.0	5.661623395648243	4.639610080562261	6.1822028389105474	1.8876230728285373	2.507504637978583	9.743043	5.4372656288597945	1
190.0	4.0	2.3408763325028548	1.4576801758401434	3.26431692318731	3.077383082339968	0.4614554571569464	6.255878	6.8652708155475	1
206.0	752.0	2.239325245315433	2.8117002250506262	3.008157630228918	2.4827784016791044	1.5211654062617137	6.301703	9.825709901425077	1
40.0	101.0	2.183128499555885	3.683938816653898	3.482587044610796	3.577063265269845	1.3295861633289032	8.957994	8.229095319065294	1
400.0	3040.0	1.856175652091232	3.1255003926468024	2.5232834503814843	1.9523022316466008	1.9112637648335928	10.942596	11.387435185146211	1
217.0	3324.0	0.950117701614206	2.5486289676708536	2.2038587941025023	2.474452797834998	1.5951074508118115	2.777244	5.647334066313644	1
88.0	928.0	0.4661353462772883	2.500163498777217	1.6723862149366755	2.874725730026775	1.3030977211353885	4.3358173	2.787825461022855	1
214.0	3020.0	1.2742274300459038	2.8277163479683427	2.110850279196311	3.2502392288969264	1.1961803473534836	8.780801	11.082471733881674	1
76.0	3709.0	2.1049157688590827	2.93398867507819	2.838939059399937	2.6586242956262693	1.318062278056988	7.6374273	10.646313237203124	1
31.0	36.0	2.216746182365465	2.753223849907936	2.3150297063384184	3.651052587042188	1.0493226711826091	10.139715	8.041880566905773	1
83.0	131.0	3.067457172881546	2.043891784910064	3.620166461181959	4.802043440301007	0.7473175136952981	2.9304557	0.2486121026307718	1
54.0	0.0	1.6214481395888318	1.817026929414869	2.8680644997013056	0.0	0.0	5.968876	1.7422385602925758	0
5.0	275.0	-7.012752526382025	0.0172268106498973	-5.569690525823993	0.4861398100962804	11.580302885820572	-5.913917	-2.865499726024373	0
95.0	0.0	2.2631285624389728	-1.4407356417333828	2.404650798634	0.0	0.0	2.2343318	-3.5610661228608804	0
109.0	26.0	2.4661470933002025	0.4607310668495237	3.372641091276377	3.0373794923595585	0.5328419843297288	4.490183	-1.408453564736765	0
22.0	10.0	3.544588317533373	1.0776245109371267	4.365956012221565	4.260977349496844	0.5529895160118197	6.6386194	-2.00920658015962	0
85.0	0.0	1.370903985288768	-0.7620396739117977	2.2590701009658702	0.0	0.0	-0.62257093	-1.9039883490127167	0
